Last Name,First Name,Middle Name,Agency,Position,Employer Name,Work Email Address,Filing Type,Filing Year,Due Date,Filed Date,NAME OF BUSINESS ENTITY,"GENERAL DESCRIPTION OF
THIS BUSINESS ACTIVITY","FAIR MARKET VALUE
(Select from drop down list)","NATURE OF INVESTMENT 
(Select from drop down list. 
If ""other,"" describe)","IF APPLICABLE, LIST DATE
(mm/dd/yyyy)",
Gore,James,M,County of Sonoma,Supervisor,,District4@sonoma-county.org,Amendment - Annual,2021,04/01/2022,08/10/2022,Classy,Technology Platform,"$10,001 - $100,000",Advisory Shares,,
Gorin,Susan,K,County of Sonoma,Supervisor,,susan.gorin@sonoma-county.org,Annual,2021,04/01/2022,03/08/2022,KEYS (Keysight Technologies Inc.),Electronics Manufacturing,"$100,001 - $1,000,000",Stock,,
Gorin,Susan,K,County of Sonoma,Supervisor,,susan.gorin@sonoma-county.org,Annual,2021,04/01/2022,03/08/2022,MFGP (Micro Focus International),Electronics Manufacturing,"$2,000 - $10,000",Stock,,
Gorin,Susan,K,County of Sonoma,Supervisor,,susan.gorin@sonoma-county.org,Annual,2021,04/01/2022,03/08/2022,HPE (Hewlett Packard Enterprises Company),Electronics Manufacturing,"$10,001 - $100,000",Stock,,
Gorin,Susan,K,County of Sonoma,Supervisor,,susan.gorin@sonoma-county.org,Annual,2021,04/01/2022,03/08/2022,PRSP (Perspecta Inc.),Electronics Manufacturing,"$2,000 - $10,000",Stock,,
Gorin,Susan,K,County of Sonoma,Supervisor,,susan.gorin@sonoma-county.org,Annual,2021,04/01/2022,03/08/2022,DXC (DXC Technology Co),Electronics Manufacturing,"$2,000 - $10,000",Stock,,
Gorin,Susan,K,County of Sonoma,Supervisor,,susan.gorin@sonoma-county.org,Annual,2021,04/01/2022,03/08/2022,HPQ (HP Inc),Electronics Manufacturing,"$100,001 - $1,000,000",Stock,,
Koenigshofer,Eric,,County of Sonoma,Planning Commissioner,,ejklaw@yahoo.com,Annual,2021,04/01/2022,02/23/2022,"Caterpiller, Inc.",Machinery,"$10,001 - $100,000",Stock,,
Koenigshofer,Eric,,County of Sonoma,Planning Commissioner,,ejklaw@yahoo.com,Annual,2021,04/01/2022,02/23/2022,Cisco Systems,Communications Equipment,"$10,001 - $100,000",Stock,,
Koenigshofer,Eric,,County of Sonoma,Planning Commissioner,,ejklaw@yahoo.com,Annual,2021,04/01/2022,02/23/2022,Fate Therapeutics,Biotechnology,"$100,001 - $1,000,000",Stock,,
Koenigshofer,Eric,,County of Sonoma,Planning Commissioner,,ejklaw@yahoo.com,Annual,2021,04/01/2022,02/23/2022,FedEx Inc.,Air Freight & Logistics,"$10,001 - $100,000",Stock,,
Koenigshofer,Eric,,County of Sonoma,Planning Commissioner,,ejklaw@yahoo.com,Annual,2021,04/01/2022,02/23/2022,Ford Motor Company,Automobiles,"$2,000 - $10,000",Stock,,
Koenigshofer,Eric,,County of Sonoma,Planning Commissioner,,ejklaw@yahoo.com,Annual,2021,04/01/2022,02/23/2022,General Motors Company,Automobiles,"$10,001 - $100,000",Stock,,
Ocana,Mary,Jacquelynne,County of Sonoma,Planning Commissioner,,jacquiocana@gmail.com,Annual,2021,04/01/2022,01/20/2022,Morgan Stanley,Investment firm,"$10,001 - $100,000",Stock,,
Ocana,Mary,Jacquelynne,County of Sonoma,Planning Commissioner,,jacquiocana@gmail.com,Annual,2021,04/01/2022,01/20/2022,Vanguard,Investment firm,"$2,000 - $10,000",Stock,,
Pittman,Robert,H,County of Sonoma,County Counsel,,robert.pittman@sonoma-county.org,Annual,2021,04/01/2022,01/26/2022,Alibaba Group Holding Limited,e-Commerce Business,"$100,001 - $1,000,000",Stock,,
Pittman,Robert,H,County of Sonoma,County Counsel,,robert.pittman@sonoma-county.org,Annual,2021,04/01/2022,01/26/2022,"UBS Financial Services, Inc.",Financial Investments and Wealth Management,"Over $1,000,000",Diversified Portfolio,,
Reed,Lawrence,,County of Sonoma,Planning Commissioner,,larry@reedgilliland.com,Annual,2021,04/01/2022,01/11/2022,Reed Gilliland Inc,Consulting Landscape Architecture,"$100,001 - $1,000,000",Corporation,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,"Altria Group, Inc",Tobacco,"$2,000 - $10,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,Apple,Technology,"$10,001 - $100,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,Berkshire Hathaway Inc Com,Conglomerate,"$2,000 - $10,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,CISCO,Technology,"$2,000 - $10,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,Coca Cola,Beverage Company,"$10,001 - $100,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,Costco,Retain Company,"$10,001 - $100,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,General Mills,Food Manufacturer,"$10,001 - $100,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,IBM,Technology,"$2,000 - $10,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,JP Morgan Chase Co,Financial Institution,"$2,000 - $10,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,Keysight,Technology,"$10,001 - $100,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,Microsoft,Technology,"$10,001 - $100,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,Mondelez Intl Inc,Food Company,"$2,000 - $10,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,Phillip Morris,Tobaccco,"$2,000 - $10,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,Skyworks,Technology,"$10,001 - $100,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,Walmart,Retail,"$2,000 - $10,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,Bank of America,Financial,"$2,000 - $10,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,Disney,Entertainment,"$2,000 - $10,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,Healthpeak Properties,Healthcare facilities,"$2,000 - $10,000",Stock,,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,Canopy Growth Corp,Drug Manufacturer,"$2,000 - $10,000",Stock,8/10/2021,
Roeser,Erick,,County of Sonoma,Treasurer,,erick.roeser@sonoma-county.org,Annual,2021,04/01/2022,03/11/2022,Silvercrest Metals,Precious metals and mining,"$2,000 - $10,000",Stock,,
